S. No ,Unitefix Services 
,
1,Computer & Printer 
2,CCTV Camera
3,Biometric Device
4,UPS & Batteries 
5,Water Purifiers ( Domestic & Commercial )
6,Solar & Heat Pumps 
7,WTP & STP
8,Mobile Repairs
9,Digital Camera Services 
10,Home Applainces
11,"Generators, Water Pumps , Water Cutoff Sensors "
12,Household Repairs 
13,Electrical & Pumbling 
14,Architecture
15,Vehicle Service ( 2 & 4 Wheeler ) 
16,Agriculture Product Services 
17,Internet & Broadband Services ( FTTH ) 
18,Earth Movers ( JCB / Cranes )
19,Packers & Movers 
20,Pest Controlling System 
21, Tax & Audit ( For All Types of Firms )
22,DTH Services 
23,Travel & Tourisum 
24,"Hotels , Homestay, Lodge, Restaurent & Resorts "
25,Real Estate 
26,Driving School 
27,Loans & All types of insurance 
28,Astrology Services 
29,Evenet Management ( Auditorim Services ) 
30,Interior Design 
31,Welding 
32,Catering Services 
33,Lawyers & Advocates 
34,Hardware & Painting 
35,Education 
36,Health 
